epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,1586.97,0.43218,0.35545,0.95406,0.95364,0.95871,0.96086,0.9232,0.33337,0.2648,0.83341,0.000271622,0.000271622,0.000271622
96,1603.49,0.42822,0.3627,0.94099,0.96601,0.95419,0.96017,0.92705,0.32,0.26297,0.82974,0.000270576,0.000270576,0.000270576
97,1620.49,0.41731,0.36249,0.9394,0.97908,0.94811,0.9576,0.92068,0.32856,0.26085,0.82938,0.000269529,0.000269529,0.000269529
98,1636.83,0.42242,0.36564,0.95672,0.97908,0.94811,0.9576,0.92068,0.32856,0.26085,0.82938,0.000268483,0.000268483,0.000268483
99,1653.2,0.42263,0.35237,0.952,0.97637,0.94935,0.96035,0.9201,0.32213,0.25624,0.82711,0.000267436,0.000267436,0.000267436
100,1669.61,0.40728,0.34861,0.9349,0.96686,0.95181,0.96135,0.92595,0.31531,0.24644,0.8279,0.000266389,0.000266389,0.000266389
101,1685.95,0.39401,0.33415,0.93332,0.96686,0.95181,0.96135,0.92595,0.31531,0.24644,0.8279,0.000265343,0.000265343,0.000265343
102,1702.41,0.43055,0.37357,0.96882,0.96702,0.95366,0.96058,0.92511,0.3217,0.25547,0.82479,0.000264296,0.000264296,0.000264296
103,1718.7,0.41355,0.33728,0.93324,0.96702,0.95366,0.96058,0.92511,0.3217,0.25547,0.82479,0.00026325,0.00026325,0.00026325
104,1735.12,0.40755,0.34127,0.93001,0.97194,0.95296,0.96088,0.92673,0.31524,0.24185,0.82469,0.000262203,0.000262203,0.000262203
105,1751.56,0.40529,0.33029,0.91056,0.97397,0.95081,0.96041,0.92204,0.32797,0.24799,0.8278,0.000261157,0.000261157,0.000261157
106,1767.87,0.43904,0.35769,0.95745,0.97397,0.95081,0.96041,0.92204,0.32797,0.24799,0.8278,0.00026011,0.00026011,0.00026011
107,1784.26,0.4031,0.3408,0.93383,0.95929,0.95434,0.95861,0.92329,0.31881,0.24584,0.82734,0.000259063,0.000259063,0.000259063
108,1800.7,0.43978,0.3608,0.97169,0.97608,0.95112,0.95681,0.92218,0.32775,0.24272,0.82867,0.000258017,0.000258017,0.000258017
109,1817.04,0.44394,0.36123,0.96512,0.97608,0.95112,0.95681,0.92218,0.32775,0.24272,0.82867,0.00025697,0.00025697,0.00025697
110,1833.49,0.42629,0.34884,0.95015,0.95879,0.94456,0.95677,0.92053,0.32548,0.24764,0.82549,0.000255924,0.000255924,0.000255924
111,1849.8,0.4251,0.35157,0.93215,0.95879,0.94456,0.95677,0.92053,0.32548,0.24764,0.82549,0.000254877,0.000254877,0.000254877
112,1866.22,0.40077,0.32728,0.94548,0.97152,0.95263,0.96127,0.92812,0.3109,0.23783,0.82713,0.000253831,0.000253831,0.000253831
113,1882.96,0.37423,0.30926,0.91777,0.97348,0.95038,0.96145,0.93055,0.31439,0.24123,0.82666,0.000252784,0.000252784,0.000252784
114,1899.64,0.40436,0.33858,0.93722,0.97348,0.95038,0.96145,0.93055,0.31439,0.24123,0.82666,0.000251737,0.000251737,0.000251737
115,1916.45,0.45123,0.3689,0.96473,0.9744,0.94912,0.96144,0.92919,0.32369,0.24378,0.82712,0.000250691,0.000250691,0.000250691
116,1932.88,0.39073,0.31673,0.91788,0.97876,0.94797,0.96132,0.92799,0.32217,0.23811,0.8286,0.000249644,0.000249644,0.000249644
117,1949.24,0.38463,0.31197,0.91818,0.97876,0.94797,0.96132,0.92799,0.32217,0.23811,0.8286,0.000248598,0.000248598,0.000248598
118,1965.66,0.3994,0.32367,0.94255,0.97029,0.95231,0.96064,0.92779,0.30862,0.23238,0.83281,0.000247551,0.000247551,0.000247551
119,1982.22,0.39935,0.33647,0.94967,0.97029,0.95231,0.96064,0.92779,0.30862,0.23238,0.83281,0.000246505,0.000246505,0.000246505
120,1998.9,0.40963,0.34529,0.95,0.98485,0.95066,0.95856,0.92512,0.31526,0.23225,0.8263,0.000245458,0.000245458,0.000245458
121,2015.29,0.40859,0.32581,0.94154,0.97732,0.9509,0.95914,0.9286,0.31062,0.24283,0.81829,0.000244411,0.000244411,0.000244411
122,2031.67,0.38969,0.33948,0.91746,0.97732,0.9509,0.95914,0.9286,0.31062,0.24283,0.81829,0.000243365,0.000243365,0.000243365
123,2048.04,0.40406,0.34463,0.93035,0.98607,0.94759,0.96187,0.92948,0.31941,0.23772,0.82181,0.000242318,0.000242318,0.000242318
124,2064.39,0.412,0.33917,0.94435,0.96855,0.96152,0.96349,0.93305,0.30812,0.23504,0.82006,0.000241272,0.000241272,0.000241272
125,2081.15,0.39399,0.32914,0.92969,0.96855,0.96152,0.96349,0.93305,0.30812,0.23504,0.82006,0.000240225,0.000240225,0.000240225
126,2098.03,0.40152,0.32233,0.92185,0.96821,0.95933,0.96386,0.93535,0.29846,0.23282,0.81728,0.000239179,0.000239179,0.000239179
127,2114.71,0.39118,0.31755,0.93258,0.96821,0.95933,0.96386,0.93535,0.29846,0.23282,0.81728,0.000238132,0.000238132,0.000238132
128,2131.48,0.42143,0.3289,0.95237,0.96954,0.95319,0.96069,0.93381,0.3065,0.23457,0.81739,0.000237085,0.000237085,0.000237085
129,2148.19,0.39093,0.32755,0.92534,0.96523,0.95867,0.96097,0.93257,0.32517,0.24157,0.81953,0.000236039,0.000236039,0.000236039
130,2164.61,0.39106,0.32388,0.9284,0.96523,0.95867,0.96097,0.93257,0.32517,0.24157,0.81953,0.000234992,0.000234992,0.000234992
131,2181,0.42038,0.32602,0.9563,0.9883,0.94511,0.95851,0.92748,0.31832,0.23989,0.82249,0.000233946,0.000233946,0.000233946
132,2197.39,0.40672,0.33957,0.9352,0.98037,0.95093,0.95992,0.93322,0.29847,0.22356,0.81762,0.000232899,0.000232899,0.000232899
133,2213.78,0.40848,0.32101,0.93381,0.98037,0.95093,0.95992,0.93322,0.29847,0.22356,0.81762,0.000231853,0.000231853,0.000231853
134,2230.22,0.36025,0.28722,0.91278,0.96682,0.95904,0.96201,0.93674,0.28688,0.23238,0.81485,0.000230806,0.000230806,0.000230806
135,2246.9,0.37472,0.29854,0.90516,0.96682,0.95904,0.96201,0.93674,0.28688,0.23238,0.81485,0.000229759,0.000229759,0.000229759
136,2263.72,0.38654,0.31905,0.92277,0.97513,0.95333,0.96212,0.93628,0.28768,0.22833,0.81591,0.000228713,0.000228713,0.000228713
137,2280.09,0.3845,0.31113,0.92697,0.98469,0.95419,0.96213,0.93466,0.29301,0.22863,0.81417,0.000227666,0.000227666,0.000227666
138,2296.4,0.3789,0.30783,0.91529,0.98469,0.95419,0.96213,0.93466,0.29301,0.22863,0.81417,0.00022662,0.00022662,0.00022662
139,2312.76,0.38253,0.31137,0.91808,0.97745,0.95212,0.95947,0.93554,0.29252,0.22227,0.81241,0.000225573,0.000225573,0.000225573
140,2329.19,0.37761,0.30018,0.90381,0.98357,0.95091,0.95992,0.93627,0.28831,0.21361,0.81198,0.000224527,0.000224527,0.000224527
141,2345.56,0.37318,0.29859,0.91245,0.98357,0.95091,0.95992,0.93627,0.28831,0.21361,0.81198,0.00022348,0.00022348,0.00022348
142,2362.34,0.39434,0.30935,0.93864,0.96247,0.96275,0.96325,0.94121,0.27871,0.21267,0.81102,0.000222433,0.000222433,0.000222433
143,2378.99,0.37114,0.29769,0.91358,0.96247,0.96275,0.96325,0.94121,0.27871,0.21267,0.81102,0.000221387,0.000221387,0.000221387
144,2395.84,0.36623,0.28408,0.89875,0.97532,0.9581,0.9639,0.94109,0.2848,0.21787,0.8137,0.00022034,0.00022034,0.00022034
145,2412.14,0.37842,0.29123,0.89777,0.96874,0.95795,0.96215,0.93888,0.27858,0.21332,0.81162,0.000219294,0.000219294,0.000219294
146,2428.4,0.36575,0.29496,0.9119,0.96874,0.95795,0.96215,0.93888,0.27858,0.21332,0.81162,0.000218247,0.000218247,0.000218247
147,2444.73,0.38606,0.30469,0.92411,0.97407,0.95572,0.96095,0.93645,0.28438,0.21259,0.81256,0.000217201,0.000217201,0.000217201
148,2461.14,0.40556,0.30278,0.92473,0.98364,0.95781,0.96139,0.94074,0.27179,0.20926,0.81491,0.000216154,0.000216154,0.000216154
149,2477.46,0.38731,0.30382,0.92735,0.98364,0.95781,0.96139,0.94074,0.27179,0.20926,0.81491,0.000215107,0.000215107,0.000215107
150,2493.88,0.36659,0.30374,0.90979,0.98493,0.95473,0.95875,0.9365,0.27667,0.2096,0.81041,0.000214061,0.000214061,0.000214061
151,2510.2,0.37601,0.28939,0.92059,0.98493,0.95473,0.95875,0.9365,0.27667,0.2096,0.81041,0.000213014,0.000213014,0.000213014
152,2526.56,0.37473,0.28437,0.91216,0.97522,0.9578,0.9617,0.94014,0.28069,0.20659,0.8073,0.000211968,0.000211968,0.000211968
153,2543.27,0.37214,0.29796,0.91081,0.976,0.95522,0.96265,0.93886,0.26836,0.20752,0.81038,0.000210921,0.000210921,0.000210921
154,2559.51,0.37935,0.30561,0.92234,0.976,0.95522,0.96265,0.93886,0.26836,0.20752,0.81038,0.000209875,0.000209875,0.000209875
155,2575.76,0.3779,0.28732,0.92786,0.97978,0.95834,0.96404,0.93958,0.27792,0.21174,0.81151,0.000208828,0.000208828,0.000208828
156,2592.11,0.37577,0.3018,0.92775,0.97834,0.95219,0.96267,0.9381,0.28753,0.21119,0.80816,0.000207781,0.000207781,0.000207781
